threshold,positive_rate,accuracy,precision,recall,f1_score,roc_auc
1.0,0.5726290516206483,0.5933014354066986,0.6377952755905512,0.675,0.6558704453441295,0.6389981273408241
1.0,0.5726290516206483,0.5933014354066986,0.6377952755905512,0.675,0.6558704453441295,0.6389981273408241
1.0,0.5726290516206483,0.5933014354066986,0.6377952755905512,0.675,0.6558704453441295,0.6389981273408241
1.0,0.5726290516206483,0.5933014354066986,0.6377952755905512,0.675,0.6558704453441295,0.6389981273408241
1.0,0.5726290516206483,0.5933014354066986,0.6377952755905512,0.675,0.6558704453441295,0.6389981273408241
1.0,0.5726290516206483,0.5933014354066986,0.6377952755905512,0.675,0.6558704453441295,0.6389981273408241
2.0,0.35414165666266506,0.7081339712918661,0.6181818181818182,0.4594594594594595,0.5271317829457365,0.6912912912912914
2.0,0.35414165666266506,0.7081339712918661,0.6181818181818182,0.4594594594594595,0.5271317829457365,0.6912912912912914
2.0,0.35414165666266506,0.7081339712918661,0.6181818181818182,0.4594594594594595,0.5271317829457365,0.6912912912912913
2.0,0.35414165666266506,0.7081339712918661,0.6181818181818182,0.4594594594594595,0.5271317829457365,0.6912912912912914
2.0,0.35414165666266506,0.7081339712918661,0.6181818181818182,0.4594594594594595,0.5271317829457365,0.6912912912912913
2.0,0.35414165666266506,0.7081339712918661,0.6181818181818182,0.4594594594594595,0.5271317829457365,0.6912912912912914
3.0,0.18847539015606243,0.8373205741626795,0.5555555555555556,0.6410256410256411,0.5952380952380952,0.7958521870286577
3.0,0.18847539015606243,0.8373205741626795,0.5555555555555556,0.6410256410256411,0.5952380952380952,0.7958521870286577
3.0,0.18847539015606243,0.8373205741626795,0.5555555555555556,0.6410256410256411,0.5952380952380952,0.7958521870286577
4.0,0.09243697478991597,0.937799043062201,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.869529085872576
4.600000000000023,0.060024009603841535,0.9234449760765551,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.8014128728414442
