model,train_acc,test_acc,test_precision,test_recall,test_f1,test_roc_auc,cv_f1_mean,cv_f1_std
Random Forest,0.9326923076923077,0.583732057416268,0.6299212598425197,0.6666666666666666,0.6477732793522267,0.639747191011236,0.7171581259084406,0.017377461689910053
Gradient Boosting,0.9391025641025641,0.6028708133971292,0.6456692913385826,0.6833333333333333,0.6639676113360324,0.6180243445692883,0.717085785940241,0.03053815631358017
XGBoost,0.9230769230769231,0.6124401913875598,0.648854961832061,0.7083333333333334,0.6772908366533864,0.6450842696629215,0.7094747043643775,0.03070958946969634
