model,train_acc,test_acc,test_precision,test_recall,test_f1,test_roc_auc,cv_f1_mean,cv_f1_std
Random Forest,0.9326923076923077,0.6124401913875598,0.672566371681416,0.6333333333333333,0.6523605150214592,0.6359082397003746,0.6835357147462797,0.042530382662184014
Gradient Boosting,0.9391025641025641,0.6076555023923444,0.6507936507936508,0.6833333333333333,0.6666666666666666,0.6197097378277153,0.6854160991496221,0.06009439192970635
XGBoost,0.9246794871794872,0.6363636363636364,0.6692307692307692,0.725,0.696,0.6347846441947566,0.673822074794072,0.06313521232558246
