threshold,positive_rate,accuracy,precision,recall,f1_score,roc_auc
1.0,0.5726290516206483,0.6172248803827751,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6487359550561799
1.0,0.5726290516206483,0.6172248803827751,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6487359550561799
1.0,0.5726290516206483,0.6172248803827751,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6487359550561799
1.0,0.5726290516206483,0.6172248803827751,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6487359550561799
1.0,0.5726290516206483,0.6172248803827751,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6487359550561799
1.0,0.5726290516206483,0.6172248803827751,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6487359550561799
2.0,0.35414165666266506,0.7033492822966507,0.603448275862069,0.47297297297297297,0.5303030303030303,0.7023023023023024
2.0,0.35414165666266506,0.7033492822966507,0.603448275862069,0.47297297297297297,0.5303030303030303,0.7023023023023024
2.0,0.35414165666266506,0.7033492822966507,0.603448275862069,0.47297297297297297,0.5303030303030303,0.7023023023023024
2.0,0.35414165666266506,0.7033492822966507,0.603448275862069,0.47297297297297297,0.5303030303030303,0.7023023023023024
2.0,0.35414165666266506,0.7033492822966507,0.603448275862069,0.47297297297297297,0.5303030303030303,0.7023023023023024
2.0,0.35414165666266506,0.7033492822966507,0.603448275862069,0.47297297297297297,0.5303030303030303,0.7023023023023024
3.0,0.18847539015606243,0.8421052631578947,0.5681818181818182,0.6410256410256411,0.6024096385542169,0.8125942684766215
3.0,0.18847539015606243,0.8421052631578947,0.5681818181818182,0.6410256410256411,0.6024096385542169,0.8125942684766215
3.0,0.18847539015606243,0.8421052631578947,0.5681818181818182,0.6410256410256411,0.6024096385542169,0.8125942684766215
4.0,0.09243697478991597,0.9282296650717703,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.8150969529085872
4.600000000000023,0.060024009603841535,0.9234449760765551,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.693877551020408
