track_type,tier,species,metric,ac_a,ac_b,n_a,n_b,mean_a,mean_b,delta,U_stat,p_value,significant,direction,rbc,effect_size
only,warning,Alexandrium_catenella,prauc,ACOLITE,C2RCC,50,50,0.77513,0.7058,-0.06933,2464.0,0.0,True,ACOLITE_better,-0.9712,large
only,warning,Alexandrium_catenella,prauc,Baseline,C2RCC,50,50,0.76548,0.7058,-0.05969,2463.0,0.0,True,Baseline_better,-0.9704,large
only,warning,Dinophysis_acuminata,f1,ACOLITE,Baseline,50,50,0.76566,0.75779,-0.00787,1748.5,0.000597,True,ACOLITE_better,-0.3988,medium
only,warning,Dinophysis_acuminata,f1,ACOLITE,C2RCC,50,50,0.76566,0.74351,-0.02215,2311.0,0.0,True,ACOLITE_better,-0.8488,large
only,warning,Dinophysis_acuminata,f1,Baseline,C2RCC,50,50,0.75779,0.74351,-0.01428,2064.0,0.0,True,Baseline_better,-0.6512,large
only,warning,Dinophysis_acuminata,prauc,ACOLITE,Baseline,50,50,0.86632,0.85767,-0.00864,1799.0,0.000156,True,ACOLITE_better,-0.4392,medium
only,warning,Dinophysis_acuminata,prauc,ACOLITE,C2RCC,50,50,0.86632,0.83639,-0.02992,2444.0,0.0,True,ACOLITE_better,-0.9552,large
only,warning,Dinophysis_acuminata,prauc,Baseline,C2RCC,50,50,0.85767,0.83639,-0.02128,2302.5,0.0,True,Baseline_better,-0.842,large
only,warning,Dinophysis_norvegica,f1,ACOLITE,Baseline,50,50,0.56709,0.54708,-0.02001,1710.5,0.001518,True,ACOLITE_better,-0.3684,medium
only,warning,Dinophysis_norvegica,f1,ACOLITE,C2RCC,50,50,0.56709,0.44719,-0.1199,2500.0,0.0,True,ACOLITE_better,-1.0,large
only,warning,Dinophysis_norvegica,f1,Baseline,C2RCC,50,50,0.54708,0.44719,-0.09988,2467.0,0.0,True,Baseline_better,-0.9736,large
only,warning,Dinophysis_norvegica,prauc,ACOLITE,Baseline,50,50,0.60946,0.60453,-0.00492,1370.5,0.408088,False,ACOLITE_better,-0.0964,negligible
only,warning,Dinophysis_norvegica,prauc,ACOLITE,C2RCC,50,50,0.60946,0.50165,-0.1078,2489.0,0.0,True,ACOLITE_better,-0.9912,large
only,warning,Dinophysis_norvegica,prauc,Baseline,C2RCC,50,50,0.60453,0.50165,-0.10288,2479.0,0.0,True,Baseline_better,-0.9832,large
only,warning,Karenia,f1,ACOLITE,Baseline,50,50,0.87782,0.8714,-0.00641,1661.5,0.004606,True,ACOLITE_better,-0.3292,medium
only,warning,Karenia,f1,ACOLITE,C2RCC,50,50,0.87782,0.85001,-0.02781,2383.5,0.0,True,ACOLITE_better,-0.9068,large
only,warning,Karenia,f1,Baseline,C2RCC,50,50,0.8714,0.85001,-0.02139,2252.5,0.0,True,Baseline_better,-0.802,large
only,warning,Karenia,prauc,ACOLITE,Baseline,50,50,0.95441,0.95149,-0.00292,1649.5,0.005948,True,ACOLITE_better,-0.3196,medium
only,warning,Karenia,prauc,ACOLITE,C2RCC,50,50,0.95441,0.94058,-0.01384,2386.0,0.0,True,ACOLITE_better,-0.9088,large
only,warning,Karenia,prauc,Baseline,C2RCC,50,50,0.95149,0.94058,-0.01091,2227.0,0.0,True,Baseline_better,-0.7816,large
only,warning,Pseudo-nitzschia,f1,ACOLITE,Baseline,50,50,0.75135,0.71585,-0.0355,2390.0,0.0,True,ACOLITE_better,-0.912,large
only,warning,Pseudo-nitzschia,f1,ACOLITE,C2RCC,50,50,0.75135,0.69535,-0.056,2499.0,0.0,True,ACOLITE_better,-0.9992,large
only,warning,Pseudo-nitzschia,f1,Baseline,C2RCC,50,50,0.71585,0.69535,-0.0205,2026.5,0.0,True,Baseline_better,-0.6212,large
only,warning,Pseudo-nitzschia,prauc,ACOLITE,Baseline,50,50,0.83098,0.80241,-0.02857,2267.0,0.0,True,ACOLITE_better,-0.8136,large
only,warning,Pseudo-nitzschia,prauc,ACOLITE,C2RCC,50,50,0.83098,0.78031,-0.05068,2473.0,0.0,True,ACOLITE_better,-0.9784,large
only,warning,Pseudo-nitzschia,prauc,Baseline,C2RCC,50,50,0.80241,0.78031,-0.02211,2039.0,0.0,True,Baseline_better,-0.6312,large
roms,closure,Alexandrium_catenella,f1,ACOLITE,Baseline,50,50,0.72343,0.71054,-0.01289,1622.5,0.010332,True,ACOLITE_better,-0.298,small
roms,closure,Alexandrium_catenella,f1,ACOLITE,C2RCC,50,50,0.72343,0.67614,-0.04729,2272.0,0.0,True,ACOLITE_better,-0.8176,large
roms,closure,Alexandrium_catenella,f1,Baseline,C2RCC,50,50,0.71054,0.67614,-0.0344,2092.5,0.0,True,Baseline_better,-0.674,large
roms,closure,Alexandrium_catenella,prauc,ACOLITE,Baseline,50,50,0.80077,0.80619,0.00542,1101.0,0.305962,False,Baseline_better,0.1192,small
roms,closure,Alexandrium_catenella,prauc,ACOLITE,C2RCC,50,50,0.80077,0.76964,-0.03114,2029.0,0.0,True,ACOLITE_better,-0.6232,large
roms,closure,Alexandrium_catenella,prauc,Baseline,C2RCC,50,50,0.80619,0.76964,-0.03655,2162.0,0.0,True,Baseline_better,-0.7296,large
roms,closure,Dinophysis_acuminata,f1,ACOLITE,Baseline,50,50,0.80963,0.80871,-0.00091,1304.5,0.709692,False,ACOLITE_better,-0.0436,negligible
roms,closure,Dinophysis_acuminata,f1,ACOLITE,C2RCC,50,50,0.80963,0.79189,-0.01773,1999.0,0.0,True,ACOLITE_better,-0.5992,large
roms,closure,Dinophysis_acuminata,f1,Baseline,C2RCC,50,50,0.80871,0.79189,-0.01682,1972.0,1e-06,True,Baseline_better,-0.5776,large
roms,closure,Dinophysis_acuminata,prauc,ACOLITE,Baseline,50,50,0.87224,0.87324,0.001,1232.0,0.903975,False,Baseline_better,0.0144,negligible
roms,closure,Dinophysis_acuminata,prauc,ACOLITE,C2RCC,50,50,0.87224,0.84786,-0.02438,2144.0,0.0,True,ACOLITE_better,-0.7152,large
roms,closure,Dinophysis_acuminata,prauc,Baseline,C2RCC,50,50,0.87324,0.84786,-0.02538,2188.0,0.0,True,Baseline_better,-0.7504,large
roms,closure,Dinophysis_norvegica,f1,ACOLITE,Baseline,50,50,0.36432,0.3695,0.00518,1207.0,0.769448,False,Baseline_better,0.0344,negligible
roms,closure,Dinophysis_norvegica,f1,ACOLITE,C2RCC,50,50,0.36432,0.30436,-0.05997,1944.5,2e-06,True,ACOLITE_better,-0.5556,large
roms,closure,Dinophysis_norvegica,f1,Baseline,C2RCC,50,50,0.3695,0.30436,-0.06514,1923.5,3e-06,True,Baseline_better,-0.5388,large
roms,closure,Dinophysis_norvegica,prauc,ACOLITE,Baseline,50,50,0.45676,0.46108,0.00432,1219.0,0.833464,False,Baseline_better,0.0248,negligible
roms,closure,Dinophysis_norvegica,prauc,ACOLITE,C2RCC,50,50,0.45676,0.41369,-0.04307,1722.0,0.001152,True,ACOLITE_better,-0.3776,medium
roms,closure,Dinophysis_norvegica,prauc,Baseline,C2RCC,50,50,0.46108,0.41369,-0.04739,1739.5,0.000749,True,Baseline_better,-0.3916,medium
roms,closure,Karenia,f1,ACOLITE,Baseline,50,50,0.84007,0.82476,-0.01531,1899.5,8e-06,True,ACOLITE_better,-0.5196,large
roms,closure,Karenia,f1,ACOLITE,C2RCC,50,50,0.84007,0.82173,-0.01834,1995.5,0.0,True,ACOLITE_better,-0.5964,large
roms,closure,Karenia,f1,Baseline,C2RCC,50,50,0.82476,0.82173,-0.00303,1345.0,0.514746,False,Baseline_better,-0.076,negligible
roms,closure,Karenia,prauc,ACOLITE,Baseline,50,50,0.88046,0.87668,-0.00378,1407.0,0.28064,False,ACOLITE_better,-0.1256,small
roms,closure,Karenia,prauc,ACOLITE,C2RCC,50,50,0.88046,0.87018,-0.01028,1654.0,0.005408,True,ACOLITE_better,-0.3232,medium
roms,closure,Karenia,prauc,Baseline,C2RCC,50,50,0.87668,0.87018,-0.0065,1486.0,0.104484,False,Baseline_better,-0.1888,small
roms,closure,Pseudo-nitzschia,f1,ACOLITE,Baseline,50,50,0.58121,0.58799,0.00678,1202.0,0.743299,False,Baseline_better,0.0384,negligible
roms,closure,Pseudo-nitzschia,f1,ACOLITE,C2RCC,50,50,0.58121,0.55707,-0.02414,1650.0,0.005881,True,ACOLITE_better,-0.32,medium
roms,closure,Pseudo-nitzschia,f1,Baseline,C2RCC,50,50,0.58799,0.55707,-0.03092,1652.5,0.00558,True,Baseline_better,-0.322,medium
