ac,track,tier,species,threshold,n_positive,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std,cv_recall_mean,cv_recall_median,cv_recall_std,cv_precision_mean,cv_precision_median,cv_precision_std
ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,200,3897,0.4896,0.49339,0.02378,0.52981,0.53195,0.03011,0.42366,0.42641,0.02828,0.58245,0.58026,0.03648
ACOLITE,ACOLITE_only,warning,Dinophysis_norvegica,200,1276,0.11634,0.11112,0.03426,0.18413,0.18359,0.02479,0.07538,0.0724,0.02466,0.26861,0.26201,0.07376
ACOLITE,ACOLITE_roms,warning,Dinophysis_norvegica,200,1276,0.14367,0.14047,0.03976,0.20464,0.19993,0.02809,0.09559,0.09293,0.02947,0.29929,0.28869,0.07062
ACOLITE,ACOLITE_only,warning,Karenia,1000,2518,0.90414,0.90429,0.00997,0.97332,0.97397,0.00382,0.87076,0.87037,0.01541,0.94042,0.94055,0.01268
ACOLITE,ACOLITE_roms,warning,Karenia,1000,2518,0.91944,0.92134,0.00819,0.9797,0.97988,0.00323,0.8976,0.89553,0.0136,0.94259,0.94213,0.01236
ACOLITE,ACOLITE_only,warning,Pseudo-nitzschia,2000,2132,0.68973,0.68996,0.02207,0.78077,0.78327,0.02541,0.63156,0.63172,0.02817,0.76143,0.76492,0.03489
ACOLITE,ACOLITE_roms,warning,Pseudo-nitzschia,2000,2132,0.75211,0.75181,0.02177,0.84008,0.8387,0.02096,0.70956,0.71142,0.02993,0.80162,0.80304,0.03195
Baseline,Baseline_only,warning,Alexandrium_catenella,100,1706,0.53751,0.53955,0.03132,0.65829,0.66548,0.03135,0.43049,0.42617,0.0384,0.72075,0.72066,0.0424
Baseline,Baseline_roms,warning,Alexandrium_catenella,100,1706,0.60748,0.61112,0.03637,0.7114,0.71589,0.02765,0.51533,0.52202,0.04802,0.74523,0.75,0.04438
Baseline,Baseline_only,warning,Dinophysis_acuminata,200,3897,0.44648,0.44724,0.02486,0.46319,0.46303,0.02901,0.38321,0.38387,0.02573,0.53675,0.53967,0.03667
Baseline,Baseline_roms,warning,Dinophysis_acuminata,200,3897,0.4803,0.48292,0.02759,0.51331,0.51975,0.02894,0.41304,0.41408,0.02943,0.5757,0.57896,0.03753
Baseline,Baseline_only,warning,Dinophysis_norvegica,200,1276,0.07543,0.07144,0.03383,0.17854,0.1767,0.02424,0.04453,0.04229,0.021,0.26527,0.25833,0.10719
Baseline,Baseline_roms,warning,Dinophysis_norvegica,200,1276,0.1296,0.13118,0.03777,0.20502,0.20104,0.0279,0.08081,0.08284,0.02455,0.34484,0.33333,0.1126
Baseline,Baseline_only,warning,Karenia,1000,2518,0.89761,0.89815,0.00941,0.97141,0.97167,0.00408,0.85005,0.85264,0.01583,0.95106,0.95165,0.0104
