feature,C2RCC_only,C2RCC_roms,ACOLITE_only,ACOLITE_roms,Baseline_only,Baseline_roms
A_BLH,,,9188.0,9188.0,,
A_BlueGreen_Ratio,,,9188.0,9188.0,,
A_Blue_Red_Ratio,,,9188.0,9188.0,,
A_CI,,,9188.0,9188.0,,
A_DINI,,,9188.0,9188.0,,
A_EBI,,,9188.0,9188.0,,
A_FLH_665,,,9188.0,9188.0,,
A_FLH_681,,,9188.0,9188.0,,
A_FLHmax,,,9188.0,9188.0,,
A_Fluorescence_Peak,,,9188.0,9188.0,,
A_GBI,,,9188.0,9188.0,,
A_GLH,,,9188.0,9188.0,,
A_Green_Red_Ratio,,,9188.0,9188.0,,
A_KBBI,,,9188.0,9188.0,,
A_MCI,,,9188.0,9188.0,,
A_NDCI,,,9188.0,9188.0,,
A_NDNI,,,9188.0,9188.0,,
A_NDWI,,,9188.0,9188.0,,
A_RBD,,,9188.0,9188.0,,
A_RedEdge_Ratio,,,9188.0,9188.0,,
A_Red_NIR_Ratio,,,9188.0,9188.0,,
A_rrs_412,,,9188.0,9188.0,,
A_rrs_490,,,9188.0,9188.0,,
A_rrs_560,,,9188.0,9188.0,,
A_rrs_665,,,9188.0,9188.0,,
A_rrs_682,,,9188.0,9188.0,,
A_rrs_709,,,9188.0,9188.0,,
A_rrs_754,,,9188.0,9188.0,,
A_rrs_865,,,9188.0,9188.0,,
B_BLH,,,,,9188.0,9188.0
B_BlueGreen_Ratio,,,,,9188.0,9188.0
B_Blue_Red_Ratio,,,,,9188.0,9188.0
B_CI,,,,,9188.0,9188.0
B_DINI,,,,,9188.0,9188.0
B_EBI,,,,,9188.0,9188.0
B_FLH_665,,,,,9188.0,9188.0
B_FLH_681,,,,,9188.0,9188.0
B_FLHmax,,,,,9188.0,9188.0
B_Fluorescence_Peak,,,,,9188.0,9188.0
B_GBI,,,,,9188.0,9188.0
B_GLH,,,,,9188.0,9188.0
B_Green_Red_Ratio,,,,,9188.0,9188.0
B_KBBI,,,,,9188.0,9188.0
B_MCI,,,,,9188.0,9188.0
B_NDCI,,,,,9188.0,9188.0
B_NDNI,,,,,9188.0,9188.0
B_NDWI,,,,,9188.0,9188.0
B_RBD,,,,,9188.0,9188.0
B_RedEdge_Ratio,,,,,9188.0,9188.0
B_Red_NIR_Ratio,,,,,9188.0,9188.0
B_rrs_412,,,,,9188.0,9188.0
B_rrs_490,,,,,9188.0,9188.0
B_rrs_560,,,,,9188.0,9188.0
B_rrs_665,,,,,9188.0,9188.0
B_rrs_673,,,,,9188.0,9188.0
B_rrs_682,,,,,9188.0,9188.0
B_rrs_709,,,,,9188.0,9188.0
B_rrs_754,,,,,9188.0,9188.0
B_rrs_865,,,,,9188.0,9188.0
C_BLH,9188.0,9188.0,,,,
C_BlueGreen_Ratio,9188.0,9188.0,,,,
C_Blue_Red_Ratio,9188.0,9188.0,,,,
C_CI,9188.0,9188.0,,,,
C_DINI,9188.0,9188.0,,,,
C_EBI,9188.0,9188.0,,,,
C_FLH_665,9188.0,9188.0,,,,
C_FLH_681,9188.0,9188.0,,,,
C_FLHmax,9188.0,9188.0,,,,
C_Fluorescence_Peak,9188.0,9188.0,,,,
C_GBI,9188.0,9188.0,,,,
C_GLH,9188.0,9188.0,,,,
C_Green_Red_Ratio,9188.0,9188.0,,,,
C_KBBI,9188.0,9188.0,,,,
C_MCI,9188.0,9188.0,,,,
C_NDCI,9188.0,9188.0,,,,
C_NDNI,9188.0,9188.0,,,,
C_NDWI,9188.0,9188.0,,,,
C_RBD,9188.0,9188.0,,,,
C_RedEdge_Ratio,9188.0,9188.0,,,,
C_Red_NIR_Ratio,9188.0,9188.0,,,,
C_rrs_412,9188.0,9188.0,,,,
C_rrs_490,9188.0,9188.0,,,,
C_rrs_560,9188.0,9188.0,,,,
C_rrs_665,9188.0,9188.0,,,,
C_rrs_673,9188.0,9188.0,,,,
C_rrs_682,9188.0,9188.0,,,,
C_rrs_709,9188.0,9188.0,,,,
C_rrs_754,9188.0,9188.0,,,,
C_rrs_865,9188.0,9188.0,,,,
doy_cos,9188.0,9188.0,9188.0,9188.0,9188.0,9188.0
doy_sin,9188.0,9188.0,9188.0,9188.0,9188.0,9188.0
roms_Pair,,9188.0,,9188.0,,9188.0
roms_Uwind,,9188.0,,9188.0,,9188.0
roms_Vwind,,9188.0,,9188.0,,9188.0
roms_current_dir,,9188.0,,9188.0,,9188.0
roms_current_speed,,9188.0,,9188.0,,9188.0
roms_salt_sur,,9188.0,,9188.0,,9188.0
roms_temp_sur,,9188.0,,9188.0,,9188.0
roms_u_sur,,9188.0,,9188.0,,9188.0
roms_v_sur,,9188.0,,9188.0,,9188.0
roms_wind_dir,,9188.0,,9188.0,,9188.0
roms_wind_speed,,9188.0,,9188.0,,9188.0
roms_zeta,,9188.0,,9188.0,,9188.0
