ac,track,tier,species,threshold,n_positive,n_spatial_groups,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std
Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2121,399,0.47634,0.45687,0.07741,0.54309,0.54855,0.12644
Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2121,399,0.55776,0.54983,0.11083,0.65797,0.65623,0.11119
C2RCC,C2RCC_only,warning,Alexandrium_catenella,100,1694,399,0.35057,0.37042,0.15399,0.44635,0.47076,0.12714
C2RCC,C2RCC_roms,warning,Alexandrium_catenella,100,1694,399,0.47028,0.52521,0.17509,0.57688,0.59249,0.11917
C2RCC,C2RCC_only,warning,Dinophysis_acuminata,200,3881,399,0.54399,0.52121,0.21069,0.54915,0.47046,0.23634
C2RCC,C2RCC_roms,warning,Dinophysis_acuminata,200,3881,399,0.54067,0.49341,0.21174,0.59649,0.53128,0.21723
C2RCC,C2RCC_only,warning,Dinophysis_norvegica,200,1271,399,0.04743,0.05161,0.03769,0.15161,0.13801,0.11368
C2RCC,C2RCC_roms,warning,Dinophysis_norvegica,200,1271,399,0.06305,0.07275,0.04933,0.1772,0.16822,0.12084
C2RCC,C2RCC_only,warning,Karenia,1000,2481,399,0.56985,0.56264,0.1862,0.68716,0.72512,0.16616
C2RCC,C2RCC_roms,warning,Karenia,1000,2481,399,0.62158,0.66019,0.20233,0.75084,0.79725,0.16174
C2RCC,C2RCC_only,warning,Pseudo-nitzschia,2000,2121,399,0.44012,0.44535,0.15113,0.52307,0.57052,0.15598
C2RCC,C2RCC_roms,warning,Pseudo-nitzschia,2000,2121,399,0.555,0.58764,0.12428,0.65402,0.68517,0.13167
