ac,track,tier,species,fold,n_positive,f1,prauc
ACOLITE,ACOLITE_only,closure,Karenia,2,655,0.49564,0.57695
ACOLITE,ACOLITE_only,closure,Karenia,3,47,0.71429,0.7887
ACOLITE,ACOLITE_only,closure,Karenia,4,52,0.66667,0.65979
ACOLITE,ACOLITE_only,closure,Karenia,5,191,0.65761,0.71373
ACOLITE,ACOLITE_only,closure,Karenia,6,48,0.7191,0.77604
ACOLITE,ACOLITE_only,closure,Karenia,7,56,0.4,0.7181
ACOLITE,ACOLITE_only,closure,Karenia,8,54,0.62791,0.78413
ACOLITE,ACOLITE_only,closure,Karenia,9,47,0.74157,0.81515
ACOLITE,ACOLITE_roms,closure,Karenia,0,36,0.22857,0.49026
ACOLITE,ACOLITE_roms,closure,Karenia,1,26,0.66667,0.59384
ACOLITE,ACOLITE_roms,closure,Karenia,2,655,0.35991,0.58386
ACOLITE,ACOLITE_roms,closure,Karenia,3,47,0.81319,0.84751
ACOLITE,ACOLITE_roms,closure,Karenia,4,52,0.73469,0.66918
ACOLITE,ACOLITE_roms,closure,Karenia,5,191,0.65263,0.70369
ACOLITE,ACOLITE_roms,closure,Karenia,6,48,0.83673,0.84337
ACOLITE,ACOLITE_roms,closure,Karenia,7,56,0.71154,0.77312
ACOLITE,ACOLITE_roms,closure,Karenia,8,54,0.72527,0.84514
ACOLITE,ACOLITE_roms,closure,Karenia,9,47,0.8,0.82767
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,0,22,0.64706,0.68362
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,1,132,0.0,0.14122
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,2,19,0.4,0.68258
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,3,31,0.46512,0.36636
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,4,58,0.14706,0.1884
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,5,25,0.59459,0.69666
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,6,20,0.2963,0.31076
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,7,20,0.2963,0.54243
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,8,25,0.41176,0.66001
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,9,26,0.22857,0.4732
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,0,22,0.68571,0.72995
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,1,132,0.0,0.12462
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,2,19,0.41667,0.73548
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,3,31,0.54545,0.52289
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,4,58,0.21918,0.20317
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,5,25,0.63158,0.82827
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,6,20,0.41379,0.38799
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,7,20,0.46667,0.66063
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,8,25,0.69767,0.7576
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,9,26,0.53333,0.54161
Baseline,Baseline_only,closure,Alexandrium_catenella,0,54,0.5,0.62755
Baseline,Baseline_only,closure,Alexandrium_catenella,1,641,0.0355,0.44692
Baseline,Baseline_only,closure,Alexandrium_catenella,2,58,0.55102,0.59171
Baseline,Baseline_only,closure,Alexandrium_catenella,3,81,0.44898,0.47497
Baseline,Baseline_only,closure,Alexandrium_catenella,4,150,0.13575,0.23112
Baseline,Baseline_only,closure,Alexandrium_catenella,5,62,0.48889,0.63763
Baseline,Baseline_only,closure,Alexandrium_catenella,6,67,0.38,0.41659
Baseline,Baseline_only,closure,Alexandrium_catenella,7,64,0.44186,0.64644
Baseline,Baseline_only,closure,Alexandrium_catenella,8,66,0.41584,0.50303
Baseline,Baseline_only,closure,Alexandrium_catenella,9,60,0.55357,0.57623
Baseline,Baseline_roms,closure,Alexandrium_catenella,0,54,0.74468,0.86952
Baseline,Baseline_roms,closure,Alexandrium_catenella,1,641,0.02757,0.47477
Baseline,Baseline_roms,closure,Alexandrium_catenella,2,58,0.72549,0.8188
Baseline,Baseline_roms,closure,Alexandrium_catenella,3,81,0.53125,0.49166
Baseline,Baseline_roms,closure,Alexandrium_catenella,4,150,0.17175,0.20129
Baseline,Baseline_roms,closure,Alexandrium_catenella,5,62,0.52174,0.68852
Baseline,Baseline_roms,closure,Alexandrium_catenella,6,67,0.47706,0.47348
Baseline,Baseline_roms,closure,Alexandrium_catenella,7,64,0.66,0.74843
Baseline,Baseline_roms,closure,Alexandrium_catenella,8,66,0.50526,0.61154
Baseline,Baseline_roms,closure,Alexandrium_catenella,9,60,0.62857,0.66188
Baseline,Baseline_only,closure,Dinophysis_acuminata,0,22,0.18667,0.14379
Baseline,Baseline_only,closure,Dinophysis_acuminata,1,834,0.56223,0.705
Baseline,Baseline_only,closure,Dinophysis_acuminata,2,31,0.16,0.07962
Baseline,Baseline_only,closure,Dinophysis_acuminata,3,443,0.71895,0.66088
Baseline,Baseline_only,closure,Dinophysis_acuminata,4,502,0.89093,0.93821
Baseline,Baseline_only,closure,Dinophysis_acuminata,5,51,0.35897,0.43101
Baseline,Baseline_only,closure,Dinophysis_acuminata,6,55,0.11009,0.12783
Baseline,Baseline_only,closure,Dinophysis_acuminata,7,51,0.21333,0.24382
Baseline,Baseline_only,closure,Dinophysis_acuminata,8,52,0.16129,0.28362
Baseline,Baseline_only,closure,Dinophysis_acuminata,9,50,0.12698,0.25357
Baseline,Baseline_roms,closure,Dinophysis_acuminata,0,22,0.25532,0.25752
Baseline,Baseline_roms,closure,Dinophysis_acuminata,1,834,0.37885,0.7073
Baseline,Baseline_roms,closure,Dinophysis_acuminata,2,31,0.19048,0.15739
Baseline,Baseline_roms,closure,Dinophysis_acuminata,3,443,0.50243,0.56223
Baseline,Baseline_roms,closure,Dinophysis_acuminata,4,502,0.61518,0.90815
Baseline,Baseline_roms,closure,Dinophysis_acuminata,5,51,0.475,0.57048
Baseline,Baseline_roms,closure,Dinophysis_acuminata,6,55,0.13793,0.14658
Baseline,Baseline_roms,closure,Dinophysis_acuminata,7,51,0.31707,0.30676
Baseline,Baseline_roms,closure,Dinophysis_acuminata,8,52,0.22581,0.39133
Baseline,Baseline_roms,closure,Dinophysis_acuminata,9,50,0.27778,0.41831
Baseline,Baseline_only,closure,Dinophysis_norvegica,0,4,0.0,0.00751
Baseline,Baseline_only,closure,Dinophysis_norvegica,1,205,0.0,0.15253
Baseline,Baseline_only,closure,Dinophysis_norvegica,2,4,0.0,0.05457
Baseline,Baseline_only,closure,Dinophysis_norvegica,3,7,0.0,0.01233
Baseline,Baseline_only,closure,Dinophysis_norvegica,4,7,0.0,0.02149
Baseline,Baseline_only,closure,Dinophysis_norvegica,5,5,0.0,0.03967
Baseline,Baseline_only,closure,Dinophysis_norvegica,6,5,0.0,0.02395
Baseline,Baseline_only,closure,Dinophysis_norvegica,7,6,0.0,0.05663
Baseline,Baseline_only,closure,Dinophysis_norvegica,8,7,0.0,0.16918
Baseline,Baseline_only,closure,Dinophysis_norvegica,9,5,0.0,0.0142
Baseline,Baseline_roms,closure,Dinophysis_norvegica,0,4,0.0,0.00851
Baseline,Baseline_roms,closure,Dinophysis_norvegica,1,205,0.0,0.15222
Baseline,Baseline_roms,closure,Dinophysis_norvegica,2,4,0.0,0.04155
Baseline,Baseline_roms,closure,Dinophysis_norvegica,3,7,0.0,0.01024
Baseline,Baseline_roms,closure,Dinophysis_norvegica,4,7,0.0,0.0108
Baseline,Baseline_roms,closure,Dinophysis_norvegica,5,5,0.0,0.03196
Baseline,Baseline_roms,closure,Dinophysis_norvegica,6,5,0.0,0.01854
Baseline,Baseline_roms,closure,Dinophysis_norvegica,7,6,0.0,0.07979
Baseline,Baseline_roms,closure,Dinophysis_norvegica,8,7,0.0,0.07497
Baseline,Baseline_roms,closure,Dinophysis_norvegica,9,5,0.0,0.0331
Baseline,Baseline_only,closure,Karenia,0,36,0.31461,0.36633
Baseline,Baseline_only,closure,Karenia,1,26,0.46154,0.4439
Baseline,Baseline_only,closure,Karenia,2,655,0.29882,0.59357
Baseline,Baseline_only,closure,Karenia,3,47,0.58333,0.76084
Baseline,Baseline_only,closure,Karenia,4,52,0.52273,0.63732
Baseline,Baseline_only,closure,Karenia,5,191,0.6621,0.63708
Baseline,Baseline_only,closure,Karenia,6,48,0.65116,0.73343
Baseline,Baseline_only,closure,Karenia,7,56,0.44186,0.58772
Baseline,Baseline_only,closure,Karenia,8,54,0.45946,0.69519
Baseline,Baseline_only,closure,Karenia,9,47,0.6506,0.74235
Baseline,Baseline_roms,closure,Karenia,0,36,0.38776,0.4872
Baseline,Baseline_roms,closure,Karenia,1,26,0.66667,0.59714
Baseline,Baseline_roms,closure,Karenia,2,655,0.34216,0.5692
Baseline,Baseline_roms,closure,Karenia,3,47,0.79545,0.8267
Baseline,Baseline_roms,closure,Karenia,4,52,0.65347,0.6667
Baseline,Baseline_roms,closure,Karenia,5,191,0.68182,0.66841
Baseline,Baseline_roms,closure,Karenia,6,48,0.73333,0.78609
Baseline,Baseline_roms,closure,Karenia,7,56,0.50549,0.72293
Baseline,Baseline_roms,closure,Karenia,8,54,0.59524,0.80325
Baseline,Baseline_roms,closure,Karenia,9,47,0.71739,0.82015
Baseline,Baseline_only,closure,Pseudo-nitzschia,0,22,0.51613,0.73557
Baseline,Baseline_only,closure,Pseudo-nitzschia,1,132,0.0,0.10269
Baseline,Baseline_only,closure,Pseudo-nitzschia,2,19,0.0,0.37088
Baseline,Baseline_only,closure,Pseudo-nitzschia,3,31,0.44898,0.40314
Baseline,Baseline_only,closure,Pseudo-nitzschia,4,58,0.20779,0.16665
Baseline,Baseline_only,closure,Pseudo-nitzschia,5,25,0.4375,0.70945
Baseline,Baseline_only,closure,Pseudo-nitzschia,6,20,0.08333,0.2007
Baseline,Baseline_only,closure,Pseudo-nitzschia,7,20,0.2963,0.58738
Baseline,Baseline_only,closure,Pseudo-nitzschia,8,25,0.26667,0.6289
Baseline,Baseline_only,closure,Pseudo-nitzschia,9,26,0.29412,0.47192
Baseline,Baseline_roms,closure,Pseudo-nitzschia,0,22,0.68571,0.78851
Baseline,Baseline_roms,closure,Pseudo-nitzschia,1,132,0.0,0.12597
Baseline,Baseline_roms,closure,Pseudo-nitzschia,2,19,0.09091,0.55251
Baseline,Baseline_roms,closure,Pseudo-nitzschia,3,31,0.47826,0.58249
Baseline,Baseline_roms,closure,Pseudo-nitzschia,4,58,0.26316,0.20466
Baseline,Baseline_roms,closure,Pseudo-nitzschia,5,25,0.59459,0.79663
Baseline,Baseline_roms,closure,Pseudo-nitzschia,6,20,0.44444,0.37916
Baseline,Baseline_roms,closure,Pseudo-nitzschia,7,20,0.41379,0.64919
Baseline,Baseline_roms,closure,Pseudo-nitzschia,8,25,0.6,0.72738
Baseline,Baseline_roms,closure,Pseudo-nitzschia,9,26,0.5,0.70754
C2RCC,C2RCC_only,closure,Alexandrium_catenella,0,54,0.55422,0.70201
C2RCC,C2RCC_only,closure,Alexandrium_catenella,1,641,0.03318,0.44284
C2RCC,C2RCC_only,closure,Alexandrium_catenella,2,58,0.4,0.54906
C2RCC,C2RCC_only,closure,Alexandrium_catenella,3,81,0.38554,0.38983
C2RCC,C2RCC_only,closure,Alexandrium_catenella,4,150,0.1551,0.21273
C2RCC,C2RCC_only,closure,Alexandrium_catenella,5,62,0.45545,0.55026
C2RCC,C2RCC_only,closure,Alexandrium_catenella,6,67,0.36667,0.35865
C2RCC,C2RCC_only,closure,Alexandrium_catenella,7,64,0.44231,0.53296
C2RCC,C2RCC_only,closure,Alexandrium_catenella,8,66,0.41379,0.4321
C2RCC,C2RCC_only,closure,Alexandrium_catenella,9,60,0.46465,0.51033
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,0,54,0.76596,0.84013
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,1,641,0.01843,0.4884
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,2,58,0.71154,0.77941
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,3,81,0.54098,0.47434
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,4,150,0.20408,0.20912
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,5,62,0.55769,0.64377
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,6,67,0.53333,0.55223
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,7,64,0.62264,0.67205
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,8,66,0.53465,0.62783
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,9,60,0.61224,0.70954
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,0,22,0.04776,0.0274
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,1,834,0.59305,0.6633
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,2,31,0.11667,0.03926
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,3,443,0.50882,0.60435
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,4,502,0.67647,0.90618
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,5,51,0.23077,0.33001
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,6,55,0.19858,0.1522
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,7,51,0.24742,0.25171
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,8,52,0.12821,0.1786
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,9,50,0.30769,0.29739
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,0,22,0.22222,0.24008
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,1,834,0.29545,0.68395
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,2,31,0.08,0.0764
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,3,443,0.36593,0.58819
