blocking,ac,track,tier,n_samples,n_features,n_folds_used,n_spatial_groups,block_diag_median_m,avg_zero_pos_species_per_fold,avg_train_excluded_species_per_fold,cv_f1_macro_mean,cv_f1_macro_median,cv_f1_macro_std,cv_prauc_macro_mean,cv_prauc_macro_median,cv_prauc_macro_std,cv_hamming_mean,cv_hamming_std,cv_subset_acc_mean,cv_subset_acc_std,cv_jaccard_mean,cv_jaccard_std,random_f1_macro_mean,random_f1_macro_std,leakage_ratio,leakage_gate_pass
quadtree_adaptive,ACOLITE,ACOLITE_only,closure,9249,31,10,401,16982.48881,0.0,0.0,0.34584,0.36823,0.07805,0.425,0.4316,0.04116,0.08122,0.05353,0.66047,0.19049,0.24173,0.06677,0.68138,0.03213,0.50756,False
quadtree_adaptive,ACOLITE,ACOLITE_roms,closure,9249,43,10,401,16982.48881,0.0,0.0,0.40299,0.3952,0.09392,0.49701,0.50604,0.06001,0.08421,0.06372,0.6622,0.21166,0.28891,0.08115,0.68115,0.02697,0.59163,False
quadtree_adaptive,Baseline,Baseline_only,closure,9249,32,10,401,16982.48881,0.0,0.0,0.30126,0.29189,0.06663,0.40715,0.40493,0.04098,0.08492,0.05311,0.6479,0.17212,0.20296,0.05806,0.66705,0.02965,0.45163,False
quadtree_adaptive,Baseline,Baseline_roms,closure,9249,44,10,401,16982.48881,0.0,0.0,0.37702,0.37771,0.07608,0.47408,0.47819,0.05647,0.08676,0.0592,0.64748,0.18424,0.26282,0.06077,0.67287,0.03382,0.56032,False
quadtree_adaptive,C2RCC,C2RCC_only,closure,9249,32,10,401,16982.48881,0.0,0.0,0.28929,0.30192,0.06508,0.3808,0.4035,0.04945,0.10116,0.05047,0.57746,0.17827,0.19412,0.05645,0.62554,0.03394,0.46246,False
quadtree_adaptive,C2RCC,C2RCC_roms,closure,9249,44,10,401,16982.48881,0.0,0.0,0.38689,0.40652,0.09049,0.47441,0.46978,0.05426,0.09025,0.06215,0.63142,0.19356,0.27405,0.07046,0.64554,0.02671,0.59933,False
quadtree_adaptive,ACOLITE,ACOLITE_only,warning,9249,31,10,401,16982.48881,0.0,0.0,0.42803,0.46282,0.07284,0.51421,0.51795,0.04965,0.17556,0.08149,0.42684,0.17333,0.30963,0.06531,0.73949,0.01732,0.57881,False
quadtree_adaptive,ACOLITE,ACOLITE_roms,warning,9249,43,10,401,16982.48881,0.0,0.0,0.4526,0.48475,0.08995,0.56203,0.56137,0.04293,0.17286,0.08454,0.43029,0.15587,0.33493,0.07921,0.74945,0.01648,0.60391,False
quadtree_adaptive,Baseline,Baseline_only,warning,9249,32,10,401,16982.48881,0.0,0.0,0.40276,0.41701,0.05577,0.49285,0.50275,0.05911,0.17917,0.08468,0.42183,0.15414,0.28557,0.05318,0.71703,0.01931,0.5617,False
quadtree_adaptive,Baseline,Baseline_roms,warning,9249,44,10,401,16982.48881,0.0,0.0,0.44882,0.47576,0.07842,0.55835,0.55183,0.03277,0.17347,0.08727,0.42297,0.15138,0.3305,0.06912,0.74384,0.01589,0.60338,False
quadtree_adaptive,C2RCC,C2RCC_only,warning,9249,32,10,401,16982.48881,0.0,0.0,0.38385,0.4219,0.07468,0.46284,0.49399,0.0786,0.20731,0.0746,0.3562,0.13219,0.26654,0.06371,0.67798,0.01625,0.56618,False
quadtree_adaptive,C2RCC,C2RCC_roms,warning,9249,44,10,401,16982.48881,0.0,0.0,0.44523,0.47317,0.0799,0.54621,0.53594,0.04195,0.17801,0.08543,0.41098,0.13896,0.32408,0.07069,0.7185,0.01543,0.61966,False
quadtree_random,ACOLITE,ACOLITE_only,closure,9114,31,10,66,4245.6222,0.1,0.0,0.22928,0.22753,0.10119,0.3588,0.35022,0.10082,0.07971,0.04233,0.67234,0.13563,0.15347,0.07716,0.68386,0.01935,0.33527,False
quadtree_random,ACOLITE,ACOLITE_roms,closure,9114,43,10,66,4245.6222,0.1,0.0,0.249,0.24627,0.1033,0.41637,0.42126,0.09291,0.07162,0.04287,0.7001,0.14595,0.17006,0.08341,0.66763,0.02608,0.37296,False
quadtree_random,Baseline,Baseline_only,closure,9114,32,10,66,4245.6222,0.1,0.0,0.1993,0.18175,0.10564,0.34045,0.31942,0.09493,0.07826,0.04474,0.682,0.14109,0.13238,0.08142,0.67399,0.01585,0.29571,False
quadtree_random,Baseline,Baseline_roms,closure,9114,44,10,66,4245.6222,0.1,0.0,0.25059,0.25251,0.11385,0.41152,0.40688,0.0971,0.07131,0.0433,0.70156,0.148,0.16979,0.09442,0.67861,0.02669,0.36926,False
quadtree_random,C2RCC,C2RCC_only,closure,9114,32,10,66,4245.6222,0.1,0.0,0.16102,0.16089,0.09789,0.29426,0.28883,0.08085,0.09293,0.03896,0.61631,0.12543,0.1012,0.07053,0.62047,0.04649,0.25952,False
quadtree_random,C2RCC,C2RCC_roms,closure,9114,44,10,66,4245.6222,0.1,0.0,0.25431,0.26489,0.10962,0.39689,0.39857,0.08589,0.07496,0.04161,0.68526,0.13494,0.17142,0.08359,0.64955,0.02686,0.39151,False
quadtree_random,ACOLITE,ACOLITE_only,warning,9114,31,10,66,4245.6222,0.0,0.0,0.31853,0.32447,0.10834,0.43384,0.43188,0.09309,0.19724,0.07509,0.36271,0.11728,0.21285,0.08471,0.74194,0.01279,0.42932,False
quadtree_random,ACOLITE,ACOLITE_roms,warning,9114,43,10,66,4245.6222,0.0,0.0,0.33508,0.32689,0.12357,0.48175,0.47272,0.07658,0.18311,0.07779,0.3975,0.13513,0.23373,0.10009,0.75268,0.01286,0.44518,False
quadtree_random,Baseline,Baseline_only,warning,9114,32,10,66,4245.6222,0.0,0.0,0.29935,0.29828,0.09272,0.42061,0.40725,0.08675,0.19165,0.0778,0.3714,0.11356,0.19823,0.06989,0.72405,0.01621,0.41343,False
quadtree_random,Baseline,Baseline_roms,warning,9114,44,10,66,4245.6222,0.0,0.0,0.33545,0.36135,0.10583,0.48054,0.47541,0.0693,0.17122,0.08392,0.4297,0.12718,0.23115,0.08296,0.74411,0.01712,0.45081,False
quadtree_random,C2RCC,C2RCC_only,warning,9114,32,10,66,4245.6222,0.0,0.0,0.28829,0.32264,0.09789,0.39387,0.40381,0.07839,0.21763,0.06543,0.31558,0.10239,0.18483,0.07047,0.68096,0.02102,0.42336,False
quadtree_random,C2RCC,C2RCC_roms,warning,9114,44,10,66,4245.6222,0.0,0.0,0.33054,0.37389,0.12194,0.46874,0.466,0.07799,0.18449,0.06798,0.37398,0.09606,0.22515,0.09655,0.72429,0.01478,0.45637,False
