blocking,ac,track,tier,species,threshold,n_positive,n_spatial_groups,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std
quadtree_random,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,500,2094,66,0.16309,0.12917,0.18222,0.29053,0.24521,0.19732
quadtree_random,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,500,2094,66,0.15146,0.13942,0.11386,0.30881,0.31738,0.16908
quadtree_random,ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,500,254,66,0.0,0.0,0.0,0.03927,0.02176,0.04952
quadtree_random,ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,500,254,66,0.0,0.0,0.0,0.06314,0.04549,0.08933
quadtree_random,ACOLITE,ACOLITE_only,closure,Karenia,5000,1208,66,0.40156,0.41535,0.27416,0.57137,0.60577,0.25145
quadtree_random,ACOLITE,ACOLITE_roms,closure,Karenia,5000,1208,66,0.48672,0.50547,0.23979,0.65725,0.693,0.23958
quadtree_random,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,13000,379,66,0.17567,0.03088,0.21373,0.35763,0.3262,0.27823
quadtree_random,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,13000,379,66,0.22838,0.18611,0.25693,0.41148,0.41705,0.28583
quadtree_random,Baseline,Baseline_only,closure,Alexandrium_catenella,300,1294,66,0.37839,0.36513,0.19344,0.51183,0.48657,0.16865
quadtree_random,Baseline,Baseline_roms,closure,Alexandrium_catenella,300,1294,66,0.38618,0.39234,0.23087,0.62239,0.57189,0.21277
quadtree_random,Baseline,Baseline_only,closure,Dinophysis_acuminata,500,2094,66,0.06875,0.03078,0.10365,0.24396,0.20946,0.18271
quadtree_random,Baseline,Baseline_roms,closure,Dinophysis_acuminata,500,2094,66,0.15584,0.16142,0.11802,0.31804,0.34114,0.1849
quadtree_random,Baseline,Baseline_only,closure,Dinophysis_norvegica,500,254,66,0.0,0.0,0.0,0.03279,0.01576,0.02955
quadtree_random,Baseline,Baseline_roms,closure,Dinophysis_norvegica,500,254,66,0.0,0.0,0.0,0.02958,0.02083,0.0193
quadtree_random,Baseline,Baseline_only,closure,Karenia,5000,1208,66,0.40457,0.44213,0.26419,0.56544,0.69406,0.27855
quadtree_random,Baseline,Baseline_roms,closure,Karenia,5000,1208,66,0.44427,0.45667,0.23135,0.61464,0.67748,0.23382
quadtree_random,Baseline,Baseline_only,closure,Pseudo-nitzschia,13000,379,66,0.12813,0.0,0.20122,0.32138,0.27839,0.26087
quadtree_random,Baseline,Baseline_roms,closure,Pseudo-nitzschia,13000,379,66,0.24784,0.10591,0.28615,0.43697,0.4253,0.32099
quadtree_random,C2RCC,C2RCC_only,closure,Alexandrium_catenella,300,1294,66,0.27928,0.1788,0.19046,0.43449,0.40772,0.13742
quadtree_random,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,300,1294,66,0.47497,0.5881,0.25457,0.61308,0.5755,0.22623
quadtree_random,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,500,2094,66,0.09064,0.07125,0.07286,0.17738,0.15962,0.14648
quadtree_random,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,500,2094,66,0.15497,0.18199,0.10517,0.30902,0.32316,0.16053
quadtree_random,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,500,254,66,0.0,0.0,0.0,0.04057,0.01246,0.05771
quadtree_random,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,500,254,66,0.0,0.0,0.0,0.02783,0.02047,0.02089
quadtree_random,C2RCC,C2RCC_only,closure,Karenia,5000,1208,66,0.32166,0.29678,0.21255,0.51816,0.56045,0.23383
quadtree_random,C2RCC,C2RCC_roms,closure,Karenia,5000,1208,66,0.41674,0.46795,0.25314,0.58948,0.64101,0.24421
quadtree_random,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,13000,379,66,0.1126,0.05257,0.14894,0.28337,0.19774,0.21596
quadtree_random,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,13000,379,66,0.20273,0.19756,0.19179,0.41076,0.38885,0.27277
quadtree_random,ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,100,1682,66,0.3494,0.31366,0.19717,0.43404,0.43805,0.16338
quadtree_random,ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,100,1682,66,0.37357,0.34068,0.21466,0.50043,0.46046,0.19517
quadtree_random,ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,200,3867,66,0.38067,0.4186,0.09353,0.48301,0.49599,0.15904
quadtree_random,ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,200,3867,66,0.39296,0.43917,0.13563,0.52173,0.57146,0.16119
quadtree_random,ACOLITE,ACOLITE_only,warning,Dinophysis_norvegica,200,1262,66,0.03603,0.01378,0.04213,0.16564,0.14342,0.0814
quadtree_random,ACOLITE,ACOLITE_roms,warning,Dinophysis_norvegica,200,1262,66,0.02286,0.0,0.03725,0.16678,0.15132,0.07164
quadtree_random,ACOLITE,ACOLITE_only,warning,Karenia,1000,2486,66,0.43377,0.47647,0.23304,0.59669,0.65974,0.25804
quadtree_random,ACOLITE,ACOLITE_roms,warning,Karenia,1000,2486,66,0.49115,0.5076,0.26737,0.67847,0.7808,0.25255
quadtree_random,ACOLITE,ACOLITE_only,warning,Pseudo-nitzschia,2000,2106,66,0.39279,0.32951,0.22347,0.48983,0.46607,0.18595
quadtree_random,ACOLITE,ACOLITE_roms,warning,Pseudo-nitzschia,2000,2106,66,0.39486,0.39657,0.25997,0.54133,0.54529,0.1889
quadtree_random,Baseline,Baseline_only,warning,Alexandrium_catenella,100,1682,66,0.33119,0.33062,0.1749,0.42304,0.42525,0.18752
quadtree_random,Baseline,Baseline_roms,warning,Alexandrium_catenella,100,1682,66,0.34718,0.40909,0.19209,0.50766,0.52409,0.18119
quadtree_random,Baseline,Baseline_only,warning,Dinophysis_acuminata,200,3867,66,0.32221,0.37403,0.11536,0.44704,0.46328,0.16642
quadtree_random,Baseline,Baseline_roms,warning,Dinophysis_acuminata,200,3867,66,0.33702,0.39549,0.14563,0.48855,0.5215,0.16678
quadtree_random,Baseline,Baseline_only,warning,Dinophysis_norvegica,200,1262,66,0.0043,0.0,0.0129,0.1356,0.1334,0.06195
quadtree_random,Baseline,Baseline_roms,warning,Dinophysis_norvegica,200,1262,66,0.00083,0.0,0.00249,0.15682,0.15489,0.05107
quadtree_random,Baseline,Baseline_only,warning,Karenia,1000,2486,66,0.46927,0.52063,0.22111,0.61431,0.66466,0.26382
quadtree_random,Baseline,Baseline_roms,warning,Karenia,1000,2486,66,0.52916,0.57242,0.24434,0.67842,0.78129,0.26906
quadtree_random,Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2106,66,0.36976,0.29587,0.19853,0.48307,0.46348,0.14799
quadtree_random,Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2106,66,0.46307,0.44744,0.19326,0.57124,0.54339,0.1461
quadtree_random,C2RCC,C2RCC_only,warning,Alexandrium_catenella,100,1682,66,0.27502,0.27402,0.15025,0.36031,0.38412,0.13984
quadtree_random,C2RCC,C2RCC_roms,warning,Alexandrium_catenella,100,1682,66,0.40398,0.38811,0.20757,0.48788,0.50718,0.17465
quadtree_random,C2RCC,C2RCC_only,warning,Dinophysis_acuminata,200,3867,66,0.37989,0.4038,0.09984,0.41712,0.42324,0.16881
quadtree_random,C2RCC,C2RCC_roms,warning,Dinophysis_acuminata,200,3867,66,0.38317,0.4383,0.11643,0.48217,0.47817,0.16591
quadtree_random,C2RCC,C2RCC_only,warning,Dinophysis_norvegica,200,1262,66,0.03088,0.00209,0.03886,0.13844,0.13516,0.07901
quadtree_random,C2RCC,C2RCC_roms,warning,Dinophysis_norvegica,200,1262,66,0.00791,0.0,0.01658,0.14591,0.12064,0.08686
quadtree_random,C2RCC,C2RCC_only,warning,Karenia,1000,2486,66,0.42425,0.51929,0.22049,0.60822,0.71748,0.2134
quadtree_random,C2RCC,C2RCC_roms,warning,Karenia,1000,2486,66,0.45481,0.45226,0.26318,0.656,0.68161,0.24103
quadtree_random,C2RCC,C2RCC_only,warning,Pseudo-nitzschia,2000,2106,66,0.33142,0.26997,0.1374,0.44526,0.4474,0.11085
quadtree_random,C2RCC,C2RCC_roms,warning,Pseudo-nitzschia,2000,2106,66,0.40286,0.39921,0.18745,0.57172,0.54523,0.13649
