blocking,ac,track,tier,species,fold,n_positive,f1,prauc
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,6,4,0.0,0.05212
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,7,6,0.0,0.05177
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,8,7,0.0,0.04335
clustering,ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,9,4,0.0,0.03298
clustering,ACOLITE,ACOLITE_only,closure,Karenia,0,27,0.25806,0.30543
clustering,ACOLITE,ACOLITE_only,closure,Karenia,1,21,0.2963,0.26474
clustering,ACOLITE,ACOLITE_only,closure,Karenia,2,26,0.65,0.80428
clustering,ACOLITE,ACOLITE_only,closure,Karenia,3,827,0.21689,0.68285
clustering,ACOLITE,ACOLITE_only,closure,Karenia,4,52,0.74286,0.73823
clustering,ACOLITE,ACOLITE_only,closure,Karenia,5,51,0.63529,0.82638
clustering,ACOLITE,ACOLITE_only,closure,Karenia,6,47,0.78261,0.77693
clustering,ACOLITE,ACOLITE_only,closure,Karenia,7,53,0.58427,0.73059
clustering,ACOLITE,ACOLITE_only,closure,Karenia,8,48,0.47887,0.77252
clustering,ACOLITE,ACOLITE_only,closure,Karenia,9,60,0.45238,0.75836
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,0,27,0.57895,0.4766
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,1,21,0.09091,0.35915
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,2,26,0.77273,0.72318
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,3,827,0.19979,0.69951
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,4,52,0.75472,0.73847
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,5,51,0.71739,0.85894
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,6,47,0.84211,0.84042
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,7,53,0.65979,0.76413
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,8,48,0.6747,0.82075
clustering,ACOLITE,ACOLITE_roms,closure,Karenia,9,60,0.73786,0.80116
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,0,20,0.64706,0.65868
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,1,133,0.0,0.08916
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,2,22,0.35714,0.6325
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,3,22,0.0,0.25203
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,4,26,0.30303,0.268
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,5,58,0.21538,0.25879
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,6,27,0.19355,0.38668
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,7,28,0.30769,0.41043
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,8,21,0.5,0.53426
clustering,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,9,24,0.47368,0.52045
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,0,20,0.61111,0.76179
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,1,133,0.0,0.09981
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,2,22,0.54545,0.73939
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,3,22,0.0,0.37592
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,4,26,0.41176,0.35509
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,5,58,0.24242,0.28412
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,6,27,0.36364,0.58695
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,7,28,0.33333,0.55792
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,8,21,0.61111,0.59975
clustering,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,9,24,0.55556,0.81381
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,0,58,0.57143,0.63877
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,1,637,0.03003,0.42438
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,2,56,0.36842,0.42928
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,3,57,0.56818,0.75136
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,4,85,0.35461,0.40455
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,5,153,0.22222,0.25838
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,6,65,0.45545,0.56344
