threshold,positive_rate,accuracy,precision,recall,f1_score,roc_auc
1.0,0.5726290516206483,0.5598086124401914,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.5772003745318353
1.0,0.5726290516206483,0.5598086124401914,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.5772003745318353
1.0,0.5726290516206483,0.5598086124401914,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.5772003745318353
1.0,0.5726290516206483,0.5598086124401914,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.5772003745318353
1.0,0.5726290516206483,0.5598086124401914,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.5772003745318353
1.0,0.5726290516206483,0.5598086124401914,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.5772003745318353
2.0,0.35414165666266506,0.5933014354066986,0.42857142857142855,0.44594594594594594,0.4370860927152318,0.5751751751751752
2.0,0.35414165666266506,0.5933014354066986,0.42857142857142855,0.44594594594594594,0.4370860927152318,0.5751751751751752
2.0,0.35414165666266506,0.5933014354066986,0.42857142857142855,0.44594594594594594,0.4370860927152318,0.5751751751751752
2.0,0.35414165666266506,0.5933014354066986,0.42857142857142855,0.44594594594594594,0.4370860927152318,0.5751751751751752
2.0,0.35414165666266506,0.5933014354066986,0.42857142857142855,0.44594594594594594,0.4370860927152318,0.5751751751751752
2.0,0.35414165666266506,0.5933014354066986,0.42857142857142855,0.44594594594594594,0.4370860927152318,0.5751751751751752
3.0,0.18847539015606243,0.7033492822966507,0.3114754098360656,0.48717948717948717,0.38,0.6819004524886878
3.0,0.18847539015606243,0.7033492822966507,0.3114754098360656,0.48717948717948717,0.38,0.6819004524886878
3.0,0.18847539015606243,0.7033492822966507,0.3114754098360656,0.48717948717948717,0.38,0.6819004524886878
4.0,0.09243697478991597,0.7559808612440191,0.23333333333333334,0.7368421052631579,0.35443037974683544,0.7566481994459833
4.600000000000023,0.060024009603841535,0.7607655502392344,0.12244897959183673,0.46153846153846156,0.1935483870967742,0.652276295133438
