threshold,positive_rate,accuracy,precision,recall,f1_score,roc_auc
1.0,0.5726290516206483,0.5358851674641149,0.6716417910447762,0.375,0.48128342245989303,0.6086610486891386
1.0,0.5726290516206483,0.5358851674641149,0.6716417910447762,0.375,0.48128342245989303,0.6086610486891386
1.0,0.5726290516206483,0.5358851674641149,0.6716417910447762,0.375,0.48128342245989303,0.6086610486891386
1.0,0.5726290516206483,0.5358851674641149,0.6716417910447762,0.375,0.48128342245989303,0.6086610486891386
1.0,0.5726290516206483,0.5358851674641149,0.6716417910447762,0.375,0.48128342245989303,0.6086610486891386
1.0,0.5726290516206483,0.5358851674641149,0.6716417910447762,0.375,0.48128342245989303,0.6086610486891386
2.0,0.35414165666266506,0.6172248803827751,0.45588235294117646,0.4189189189189189,0.43661971830985913,0.58998998998999
2.0,0.35414165666266506,0.6172248803827751,0.45588235294117646,0.4189189189189189,0.43661971830985913,0.58998998998999
2.0,0.35414165666266506,0.6172248803827751,0.45588235294117646,0.4189189189189189,0.43661971830985913,0.58998998998999
2.0,0.35414165666266506,0.6172248803827751,0.45588235294117646,0.4189189189189189,0.43661971830985913,0.58998998998999
2.0,0.35414165666266506,0.6172248803827751,0.45588235294117646,0.4189189189189189,0.43661971830985913,0.58998998998999
2.0,0.35414165666266506,0.6172248803827751,0.45588235294117646,0.4189189189189189,0.43661971830985913,0.58998998998999
3.0,0.18847539015606243,0.7416267942583732,0.3770491803278688,0.5897435897435898,0.46,0.7184012066365008
3.0,0.18847539015606243,0.7416267942583732,0.3770491803278688,0.5897435897435898,0.46,0.7184012066365008
3.0,0.18847539015606243,0.7416267942583732,0.3770491803278688,0.5897435897435898,0.46,0.7184012066365008
4.0,0.09243697478991597,0.8325358851674641,0.3181818181818182,0.7368421052631579,0.4444444444444444,0.7896121883656511
4.600000000000023,0.060024009603841535,0.8325358851674641,0.19444444444444445,0.5384615384615384,0.2857142857142857,0.6605180533751963
