model,train_acc,test_acc,test_precision,test_recall,test_f1,test_roc_auc,cv_f1_mean,cv_f1_std
L2 (C=1.0),0.5865384615384616,0.5598086124401914,0.6296296296296297,0.5666666666666667,0.5964912280701754,0.5772003745318353,0.5837279951273516,0.029843892254248685
L2 (C=0.1),0.5833333333333334,0.5598086124401914,0.6346153846153846,0.55,0.5892857142857143,0.5766385767790263,0.5833325344410134,0.024877089176954987
L1 (C=1.0),0.5865384615384616,0.5598086124401914,0.6320754716981132,0.5583333333333333,0.5929203539823009,0.5763576779026217,0.5932436218869644,0.025825074465634167
