radius_m,moran_i,p_value
2000,0.3204131754895208,0.001
5000,0.051360811873430084,0.014
10000,0.11184751587025778,0.001
20000,0.12875380357992672,0.001
35000,0.09796618006162963,0.001
50000,0.08639692381475031,0.001
